"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0.1";"R_R0603";"R0603";"R2";"RESISTOR, American symbol";"";
"4";"1K";"R_R0603";"R0603";"R3, R4, R5, R6";"RESISTOR, American symbol";"";
"2";"2.2K";"R_R0603";"R0603";"R7, R8";"RESISTOR, American symbol";"";
"1";"BUZZER";"BUZZER";"BUZZER_6.5MM";"U1";"CEM-1203 Buzzer";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";
"1";"JOYSTICK";"JOYSTICK";"EIA-JSTK";"U$1";"Joystick Layout";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT2, MGT3, MGT4, MGT5";"Chassis Mounting Hole w/GND connection ability";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U2";"";"";
"1";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"R1";"Potentiometer - Examples:";"";
"1";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW1";"";"";
"1";"SLIDE_SWITCH";"SLIDE_SWITCH";"JS202011SCQN";"SW2";"JS202011SCQN SPDT Slide Switch";"";
"1";"Screen";"LCD_TFT_320QVT9341";"LCD_TFT_9341_MIRROR";"LCD1";"3.2" 320x240 TFT Module Display Touch Panel with PCB 262K Colors IC SSD1289";"";
